Date,Name,Open,High,Low,Close,Adj_Close,30-day_arithmetic_returns,Volatility
2021-03-31,AAPL,121.6500015,123.5199966,121.1500015,122.1500015,120.5304184,-0.002056781,0.001710542
2021-04-01,AAPL,123.6600037,124.1800003,122.4899979,123.0,121.3691559,-0.001536947,0.001655247
2021-04-05,AAPL,123.8700027,126.1600037,123.0699997,125.9000015,124.2307053,-0.000792158,0.001539517
2021-04-06,AAPL,126.5,127.1299973,125.6500015,126.2099991,124.5365982,0.00028322,0.001608752
2021-04-07,AAPL,125.8300018,127.9199982,125.1399994,127.9000015,126.2041931,0.000766602,0.001714789
2021-04-08,AAPL,128.9499969,130.3899994,128.5200043,130.3600006,128.631546,0.001542791,0.001848034
2021-04-09,AAPL,129.8000031,133.0399933,129.4700012,133.0,131.236557,0.003377268,0.002141741
2021-04-12,AAPL,132.5200043,132.8500061,130.6300049,131.2400055,129.4998932,0.002861783,0.002347399
2021-04-13,AAPL,132.4400024,134.6600037,131.9299927,134.4299927,132.647583,0.001876957,0.002432966
2021-04-14,AAPL,134.9400024,135.0,131.6600037,132.0299988,130.2794189,0.001978308,0.002525926
2021-04-15,AAPL,133.8200073,135.0,133.6399994,134.5,132.7166748,0.003417128,0.002715976
2021-04-16,AAPL,134.3000031,134.6699982,133.2799988,134.1600037,132.3811798,0.003859928,0.002906923
2021-04-19,AAPL,133.5099945,135.4700012,133.3399963,134.8399963,133.0521545,0.003670932,0.003039983
2021-04-20,AAPL,135.0200043,135.5299988,131.8099976,133.1100006,131.3451233,0.004632389,0.003128701
2021-04-21,AAPL,132.3600006,133.75,131.3000031,133.5,131.72995,0.00337506,0.003132734
2021-04-22,AAPL,133.0399933,134.1499939,131.4100037,131.9400024,130.1906281,0.0032911,0.003086209
2021-04-23,AAPL,132.1600037,135.1199951,132.1600037,134.3200073,132.539093,0.0033423,0.003056347
2021-04-26,AAPL,134.8300018,135.0599976,133.5599976,134.7200012,132.9337616,0.003695741,0.003060098
2021-04-27,AAPL,135.0099945,135.4100037,134.1100006,134.3899994,132.608139,0.002798868,0.003082053
2021-04-28,AAPL,134.3099976,135.0200043,133.0800018,133.5800018,131.8088684,0.002173192,0.003077544
2021-04-29,AAPL,136.4700012,137.0700073,132.4499969,133.4799957,131.7102051,0.002363259,0.003058211
2021-04-30,AAPL,131.7799988,133.5599976,131.0700073,131.4600067,129.71698,0.002988981,0.003010872
2021-05-03,AAPL,132.0399933,134.0700073,131.8300018,132.5399933,130.7826385,0.003412162,0.002904351
2021-05-04,AAPL,131.1900024,131.4900055,126.6999969,127.8499985,126.1548386,0.001288125,0.002799418
2021-05-05,AAPL,129.1999969,130.4499969,127.9700012,128.1000061,126.4015503,0.001582939,0.002667029
2021-05-06,AAPL,127.8899994,129.75,127.1299973,129.7400055,128.0197906,0.002676132,0.002495434
2021-05-07,AAPL,130.8500061,131.2599945,129.4799957,130.2100067,128.7018127,0.00271493,0.002313659
2021-05-10,AAPL,129.4100037,129.5399933,126.8099976,126.8499985,125.3807068,0.001683398,0.002108984
2021-05-11,AAPL,123.5,126.2699966,122.7699966,125.9100037,124.4516068,0.001386885,0.001867904
2021-05-12,AAPL,123.4000015,124.6399994,122.25,122.7699966,121.3479767,0.000964756,0.001597985
